Country,1.0,1.3,1.7,2.0,2.3,2.7,3.0,3.3,3.7,4.0,4.3,4.7,5.0,5.3,5.7,6.0,6.3,6.7,7.0,7.3,7.7,8.0,8.3,8.7,9.0,9.3,9.7,10.0,10.3,10.7,11.0,11.3,11.7,12.0,12.3,12.7,13.0
Britain,1,26,8228,167022,38093,49298,50904,214717,135408,86331,251752,421719,146863,123119,296572,104322,263667,190568,184409,223788,303650,60168,291211,548445,341413,416387,112511,180044,203172,27671,122589,233796,356763,65793,183368,238522,117021
China,1,38,8320,168788,39065,42032,40037,118848,51121,23500,131319,278386,98923,19563,144287,116407,202389,375947,198899,165262,149429,34386,164495,341669,309049,353788,157829,277596,262497,21556,305747,748215,888576,261166,361896,521378,490585
France,1,18,8848,163316,41565,28091,20915,156467,102150,56698,183117,166462,72545,32223,94833,130961,263818,227844,126970,143144,697463,179259,460045,698418,215947,258234,121876,296266,385095,34981,137331,224742,309210,29692,81991,112923,319316
Germany,3,114,30942,612733,172929,186264,161125,598834,314003,317057,1227135,1494377,474850,113841,370905,476256,1641771,3293266,1410504,1392171,2445236,260743,1074266,1799693,1218149,1460974,545247,1577734,1878641,114358,512998,929898,1662281,568060,1786214,2103696,1826715
Israel,0,0,0,0,0,0,0,0,0,0,677,1164,1099,392,41,22734,51085,287810,158267,58585,230687,65495,177996,297884,139349,98027,53650,146247,180676,19006,55077,178562,254482,141262,291939,194205,200601
Italy,2,15,5653,113545,28628,59358,41153,120375,69311,38195,137690,232327,76203,14980,84331,65890,55132,230782,120102,84907,204395,37931,123677,182755,85772,111247,68014,193318,244889,10941,34945,74146,170141,64901,170678,209883,142608
Japan,0,15,6446,123138,39299,60218,38243,155359,83830,31737,118655,207517,86703,35472,128579,61111,108601,186132,117935,212964,269916,31684,116996,110377,101349,225006,101231,255303,267405,9321,4593,268131,447738,260729,570240,361917,274637
Sweden,0,4,9076,161703,83156,152419,60981,233298,160305,86061,285115,451884,175257,30804,124481,133479,244361,206684,71438,148179,252989,54730,196385,425372,348364,273337,131429,231720,324256,56818,306030,777798,898121,87664,216419,317749,304504
Usa,0,29,11625,251610,72749,226683,170918,389340,248169,183365,617706,959901,370365,70290,438849,471283,1041103,2209470,1341252,1603132,2389366,322351,737802,1023461,806105,1069134,238029,512743,520324,76646,391849,871485,1466476,592305,1696577,2554261,1197611
Ussr,0,61,21491,442962,119331,205843,153649,474032,221877,116882,624161,1276255,746534,289043,935081,533399,1476346,1741567,913624,1364598,1912543,348325,922668,1285381,995079,1319822,569211,1275978,1664827,142203,756694,1665013,1543496,805582,2202102,2646302,1908290
