Country,1.0,1.3,1.7,2.0,2.3,2.7,3.0,3.3,3.7,4.0,4.3,4.7,5.0,5.3,5.7,6.0,6.3,6.7,7.0,7.3,7.7,8.0,8.3,8.7,9.0,9.3,9.7,10.0,10.3,10.7,11.0,11.3,11.7,12.0,12.3,12.7,13.0,13.3,13.7,14.0
Britain,4,50,6331,77671,9891,18991,25835,53881,74335,28971,63888,136323,118646,88717,162903,35370,41563,57495,48498,5863,22835,40604,20696,27899,99739,96631,74391,81737,104483,26333,6430,37759,32905,51168,79560,249553,446026,58314,27648,274678
China,3,33,2690,46187,2387,10177,21777,55771,55920,10265,71945,110771,29384,34736,60908,44661,23713,7436,12440,492,5244,31259,19737,24713,49648,65064,36857,62014,116392,91356,136456,698598,548508,87580,53844,33361,98739,43400,261382,1021850
France,3,18,4599,52840,14051,26264,23300,62083,45124,18797,50671,82364,70653,31363,49334,19303,23558,32632,40552,1684,5731,35730,21964,38719,78287,58891,36444,55112,103022,39028,37346,70429,35633,216230,207771,723777,1250552,33503,84124,786385
Germany,11,214,24050,300662,64319,142708,143098,276814,215883,80795,108106,276630,364858,148332,323764,124075,92212,102635,165026,10389,33141,136893,41780,63021,198056,175549,121713,124716,303294,90908,146130,609078,418077,493226,114011,262174,457420,101740,289508,1048286
Israel,0,0,0,0,0,0,0,8025,6267,6018,18991,14794,19339,7599,12537,6382,7892,7716,218,10,3363,19718,11057,20789,36077,37220,23094,22447,48586,4245,10745,52019,44259,56410,17463,35791,107464,27182,86931,208063
Italy,0,37,3349,38467,9298,13185,14644,30490,20336,10077,19048,34595,32377,16420,43339,14924,6928,5529,8437,548,1095,7052,6121,12532,34203,32815,16709,14438,21415,2253,7919,135222,120060,144833,77849,52973,110769,21918,65916,159471
Japan,1,27,3673,50289,4996,16195,24776,64340,84218,17026,98768,166067,73616,52653,109894,76009,48367,30935,45317,2477,8002,30727,12178,21773,48580,40496,40013,53562,122876,51623,44623,225100,175455,170482,46120,46566,231118,48695,241623,719600
Sweden,2,18,5930,69215,7069,13802,17240,58768,65443,12628,45595,104596,132681,66016,10913,852,338,10705,23020,4383,23467,59050,24769,41026,104375,92659,42712,58266,124339,33402,62604,268347,84655,108595,29025,12898,232628,45350,197411,743338
Usa,16,247,26035,338380,50809,114933,106340,317837,327881,93015,274543,499170,391336,244696,392761,101777,115484,93072,240704,20532,78418,305256,88850,127283,339674,297600,191772,209677,515317,182875,240085,947590,418627,579235,479716,1328747,2642273,263511,682584,2450793
Ussr,16,69,12312,174422,12476,35806,103656,301106,226147,60637,197114,248770,246017,169027,217910,114774,58058,53792,56899,5623,29851,153899,59746,75244,153762,90086,87079,131849,416679,96758,100402,522433,536802,660078,368627,649734,604721,175262,651256,2428501
