Country,1.0,1.3,1.7,2.0,2.3,2.7,3.0,3.3,3.7,4.0,4.3,4.7,5.0,5.3,5.7,6.0,6.3,6.7,7.0,7.3,7.7,8.0,8.3,8.7,9.0,9.3,9.7,10.0,10.3,10.7,11.0,11.3,11.7,12.0
Britain,15,89,30798,253146,86233,69458,43158,139704,46598,103395,68453,134271,85087,56160,103026,35894,44694,55271,36628,39910,54144,48638,42742,56571,75497,25530,34718,17325,19585,8650,21492,10249,45069,86134
China,1,87,33521,275946,81690,54695,57476,119675,6278,31531,84808,135505,81027,29203,81986,51489,137250,142972,45562,55597,52631,39853,44465,74133,122003,56332,80561,35325,45181,9793,75842,39878,128202,141190
France,3,60,23626,185789,50437,22196,24611,99238,16924,47188,59814,89129,47840,14918,30683,36188,75792,47738,23523,32693,112715,99847,42441,59936,61987,23311,37633,20332,27967,7215,15874,6491,25445,50319
Germany,27,481,159071,1269197,412236,179080,193909,827675,119319,498986,567947,762372,705256,184093,376277,296896,1020289,1572505,496568,364748,562001,528570,310768,347058,595308,164201,262342,193090,210172,57858,108165,47764,235757,679028
Israel,0,0,0,0,0,0,0,0,0,0,165,285,522,229,3,19589,56051,163108,71043,37170,91704,82039,57441,76754,82538,17902,37150,26321,32450,10008,11974,10661,26567,110623
Italy,14,52,17761,144846,42709,49557,33995,110280,16019,57412,66752,97911,66462,24338,37719,13210,29000,50597,20775,20868,36323,33547,21390,23861,29270,10959,21190,16029,21128,1596,5852,2730,14610,43991
Japan,2,64,19036,146035,49706,40073,27536,175404,26561,68925,73231,40933,56298,36020,65096,26447,46588,58343,33128,55522,60124,26207,26222,15259,32135,23223,29364,18873,19351,1588,163,10293,33806,172712
Sweden,3,48,25534,232525,82153,133009,79108,200386,43531,115818,111095,168879,118866,19132,76123,44068,31643,45687,15285,19771,53922,62798,30999,51271,69609,22127,37942,20334,29758,14549,42861,23949,88911,93543
Usa,29,156,84878,623908,376737,321535,118506,280629,65772,269734,320828,450571,241842,123329,263942,328409,684359,395478,206634,287935,413848,251722,140027,148916,263048,88472,97654,53240,34000,19998,34308,18146,131780,548603
Ussr,14,197,94734,806725,394553,455201,204126,555271,87190,165005,408730,731005,740545,394254,531570,258035,760064,770914,273564,432876,627879,408443,290031,310202,425199,168533,302271,136414,255056,64888,193840,95238,260725,1029449
